T_Acc,Alanine,Asparagine,Aspartic.acid,Butanoic.acid.4.amino.,Citric.acid,Fructose,Fumaric.acid,Galactinol,Galactose,Glucose,Glutamic.acid,Glutamine,Glycine,Isoleucine,Lactic.acid,Leucine,Lysine,Malic.acid,Maltose,Myo.Inositol,Ornithine,Oxoglutaric.acid,Phenylalanine,Proline,Putrescine,Pyruvic.acid,Raffinose,Serine,Spermidine,Succinic.acid,Sucrose,Threitol,Threonic.acid,Threonine,Trehalose,Tyrosine,Valine
6C_410,0.16938765,0.665308792,0.878163578,-0.584248845,0.547241884,0.485030315,-0.007731798,0.594795727,0.065335445,0.29827073,0.738813094,0.668785247,-0.86643786,-0.659210233,0.042397177,-0.122310775,-1.161108827,0.87525612,-0.895001212,0.55408425,-1.2025634,-0.712833069,-0.471667717,0.442046816,-0.247988179,-0.35368333,0.814505241,-0.144723322,-0.486444267,-0.472998406,0.414477346,-0.785330029,-0.107204125,-0.770735534,0.453905723,-0.663790685,0.552717407
6C_428,0.744329283,0.065681535,0.707376794,0.144708063,1.055244838,1.069109302,0.091903302,0.643739484,0.262664307,0.76120038,0.484838602,0.139320491,-0.814205997,-0.517625526,0.735181637,-1.181239155,-0.62062289,0.914301328,0.071596568,0.80032897,-0.626497586,0.032610108,-0.633395949,0.505285789,-0.254437706,-0.349580335,0.825323229,-0.873713695,-0.636801436,-0.553760483,-0.336797044,-0.880249259,-0.128601514,-1.163472347,0.195077134,-0.466693511,0.215963388
6C_766,1.044070225,0.331253667,0.507232714,-0.318759452,0.056161732,-0.958937121,-0.133997648,0.007677011,-0.364577896,-1.467028188,0.767880169,0.482322816,-0.166095335,-0.179484529,0.319507541,0.28016284,0.066196281,-0.051473158,-1.162916011,-0.059454961,0.687741885,0.179220875,0.037533675,0.823418193,0.276313492,-0.202104497,0.231883373,0.243879815,0.570331199,-0.59353166,0.222394208,-0.486628094,0.498384802,-0.399148797,-0.302161509,0.129015698,-0.231741159
6C_768,-0.438498422,1.052590114,1.167429645,-0.224374607,0.915958949,-0.445012172,0.477714787,-0.303045739,0.196813635,-0.772891337,0.940849943,0.84387489,-0.815693447,-0.982050983,-0.080323831,-0.861354281,-0.000982709,1.239502377,-0.303184132,0.827231894,-0.055336129,0.329155729,-0.504328766,0.553535407,-0.115215758,-1.086032926,0.237163424,-0.523022626,-0.900147292,-0.305312723,0.100858397,-0.373131353,0.859877756,-1.172562613,-0.045945286,0.376026549,-0.79614381
6C_991,0.285086535,0.117919703,0.031472892,-0.52664145,0.721983497,0.556972771,-0.646440362,-0.167979491,-0.844888762,0.622292872,0.455086634,0.313551727,-1.048501591,0.35100841,-0.240550441,0.1735229,0.453692319,0.247353357,0.142346432,0.878372463,-0.556666905,0.317976737,0.578259013,0.313353208,0.03576139,-0.743979554,-0.092294095,-0.563236119,-0.284770079,-0.642356429,0.50643118,-1.162870578,-0.366594331,-0.409838823,0.554338486,-0.061564423,0.379414003
6C_992,0.398498925,-0.153661199,-0.091052784,0.040320338,0.540620508,0.396759423,-0.730170455,0.189835738,-0.360016905,0.290272972,-0.169783096,-0.2130161,-0.715571077,0.730739779,-0.482708587,0.945303342,0.251134686,0.381718369,0.880836625,0.584927575,-0.633859827,0.144209474,1.08645664,0.191096934,-0.042288776,-0.372077558,0.137365546,-0.730486222,-0.636456398,-0.629404219,0.041288832,-1.060222875,-0.150432168,-0.832229409,1.024402095,0.453815128,0.87966974
6C_997,-0.507155772,0.530983938,1.002284867,-0.681747916,1.306776454,0.74238587,0.075622564,1.038004527,-0.321288278,0.759111709,0.505118101,0.634174143,-0.833577894,-1.051937183,-0.090815078,-1.130571234,-0.661641954,1.136002081,0.243199886,0.581461914,-0.744921111,0.145627109,-1.328273414,0.705706829,-0.471251747,-0.578495297,1.00345465,-1.179817792,-0.787275315,0.167652552,0.28894146,-0.761620831,0.531428904,-1.110222736,0.812001207,-0.765706636,-0.440449751
6C_1002,0.843806651,0.119292559,0.163851993,-0.269885515,0.051296818,-0.414623181,-0.380266281,-0.198841924,-0.58257817,-0.21241186,0.520818802,0.13089026,0.0924117,-0.103838305,0.048482443,0.097919661,-0.160843897,-0.017890146,0.440194063,0.609013506,-0.147061875,-0.335990125,0.710109109,0.107829838,0.633943103,-0.495670608,-0.136271182,-0.618344914,-0.24370726,-0.173443079,0.144825917,-0.818644263,0.343747838,-0.481220351,0.952432979,0.016503576,0.270185905
6C_1061,0.622673787,-0.265603274,0.891648085,-0.093019201,0.983854775,-0.603450646,-1.389470014,-0.127266298,-0.425361303,-0.471705356,0.56966793,0.161737238,-0.742052249,-0.512267553,-0.40687006,0.313713064,-0.612310744,0.418917052,0.485854222,0.653987813,-1.039020869,0.380975692,0.072056822,0.262442626,-0.904143485,-0.143407533,-0.220945659,-0.563115833,-0.993215672,-0.51345688,-0.612893995,-1.134354324,-0.339998446,-0.873693265,0.682849729,-0.626735942,0.207280697
6C_1062,0.776402996,0.152174974,0.419980214,-1.126490036,0.33501673,0.293912233,-0.601668235,0.85589618,-0.627930175,-0.275383217,0.895487886,0.477822449,-0.920128064,-0.324695981,-0.138019438,-0.057745488,0.150856201,0.566717437,-1.118056579,1.655124095,-0.722341402,-0.048156362,-0.854518328,1.144436529,0.06160675,-0.884335631,0.776741024,-0.191799292,-0.958898798,-0.527657282,0.63734498,-1.166553211,0.079178122,-0.660895114,-0.66032365,-0.22023306,0.403924699
6C_1158,0.313852208,0.498215332,0.67792183,0.264858578,0.620512124,-0.525483137,0.341714446,0.339367592,0.114852355,-1.021244471,0.540029904,0.476323292,-0.073492248,-0.418098602,-0.508487698,-0.171474443,-0.367077129,0.675120845,-0.441073567,0.404616673,-0.503504615,0.480822102,-0.340000338,0.368459147,-0.427983991,0.111879849,0.146663422,-0.572732867,-0.454160223,-0.590703764,-0.107646087,-0.668360677,-0.444622992,-0.728638164,0.37356532,-0.107806846,0.162770628
6C_1254,-0.139424266,0.808294496,0.389358781,0.171773327,0.618701606,1.718587017,0.610502078,1.210234238,0.473418991,1.454488386,0.539756443,0.554118007,-0.375628466,-0.622590785,-0.56217164,-0.906009256,-1.214964623,0.294279231,-0.276080899,1.145242605,-0.413351855,0.466395829,-0.252278233,0.983872723,0.355077299,-0.329498284,1.316131663,-0.203545495,-0.689832648,-0.209490442,0.858461367,-0.751373659,-0.133719856,-0.594082809,0.171525704,-0.650498166,0.054132133
6C_1257,-0.546637926,0.066324934,0.515066249,-0.397993392,0.622294857,1.818411969,0.41927404,1.720891034,0.812519683,1.957475836,0.449811667,-0.039044917,-0.813017363,-0.577134505,0.444024293,-0.90263559,-1.213732949,0.744541935,0.346026509,1.342813021,-1.255677302,0.079267391,-1.101018842,0.625845529,0.20971074,-0.43862864,1.781137762,-0.680274265,-0.984024569,-0.445747339,1.118180775,-0.974428337,0.141966602,-1.039395779,0.049303518,-0.512328559,0.307798848
6C_1552,-0.213026048,0.913146238,0.546500398,-0.309124894,0.889636984,0.871559205,-0.073463988,0.626055672,-0.852328561,0.750830834,0.116940597,0.703596765,-0.35583217,-0.399264258,0.18793703,-0.329487956,-0.493623345,0.93522929,0.121401873,0.023101132,-0.079711819,0.867621447,-0.202328125,0.190697368,-0.535590521,-0.764107887,0.373136363,-0.648565852,-0.724908114,-0.370189733,0.087714541,-0.754586957,0.134653613,-0.669043186,0.387131532,0.29638776,0.284738984
6C_4807,0.526614647,1.084444141,1.089936759,-0.078415509,1.153817607,-1.272275074,-0.22554393,-0.494642039,0.272638855,-1.277071897,0.974105129,1.046309346,-0.827431142,-0.84500906,0.839335485,-0.139077279,-0.268751542,1.037191497,-0.134309961,0.634158397,0.18444982,0.264662932,0.143509217,0.656740538,0.63218686,-0.311066335,0.118554629,-1.033198063,-0.116282704,-0.379976167,-0.116223588,-0.362549502,0.241810321,-0.550762592,0.264177191,0.106995655,0.291720975
6C_5210,1.191783119,0.460760254,0.505967181,-0.362462345,0.809163807,-0.786954479,-0.084409622,-0.328352713,-0.800494207,-0.798491279,0.828121058,1.009853919,-0.423103584,-0.056082614,0.03862305,-0.197815694,0.047517676,0.826853627,0.010385256,0.568108395,-0.024851307,-0.059322935,-0.034840054,0.794236236,0.191443176,-0.28540765,0.021828098,-0.752343327,-0.088450005,-0.409515443,0.257326539,-0.713615187,0.218179319,-0.491596513,0.802514772,0.042097289,0.72191632
6C_5276,-0.112097343,-0.045033173,0.724176063,-0.452592876,0.372683686,-1.155772417,-0.266483835,0.494971588,-1.265503579,-0.788899659,1.322572839,0.102063861,-0.905661957,0.093978854,0.938012714,-0.414072329,0.080989667,0.946498265,0.0026591,1.166869238,-0.918177698,-0.01719962,-0.146967907,1.307296199,-0.213026802,-0.410372296,0.254587475,-0.253313262,-0.677724677,-0.157314979,0.75158169,-0.828521646,-0.157175586,-0.328909938,0.280447054,-0.611435659,0.849562195
6C_5651,0.645517599,-0.138879555,0.156570829,-0.190841545,0.226171435,-0.187341956,-0.134719962,0.349917999,-0.174245178,0.028239226,-0.184272095,-0.014996391,-0.730671047,-0.039305102,-0.061359873,0.07357115,-0.035361907,0.362518543,-0.504995975,0.726972678,-0.754777069,-0.373774335,-0.158343938,0.679504163,0.161998379,0.523752617,0.222456589,-0.333144855,-0.020057521,-0.072202626,0.22959352,-0.681976883,-0.108081813,-0.798379035,-0.121472593,0.031340217,-0.850578054
6C_5717,0.757009158,0.422366918,0.516739827,-0.279856885,0.191627232,-0.046569829,0.147959931,0.641452435,-0.73506457,0.303816024,0.628439816,0.631930767,-0.379164694,-0.177839757,0.333459608,0.055660196,-0.371077975,0.543938,-0.417460485,0.787612284,-0.223435129,-0.504527854,-0.084142305,1.260961416,0.280866701,-0.252286217,0.585682046,-0.152108284,0.113331547,0.07861912,0.342130084,-0.560488707,0.212210109,-0.698154365,0.130588157,-0.120558376,-0.090697847
6C_5726,-0.407263436,-0.455868132,0.44410018,-0.749825828,0.598961362,-0.478082228,0.410132149,0.51719953,-0.45228897,-0.420210035,0.575890461,-0.263550923,-0.953430332,-0.081807275,0.885310737,0.029854832,-0.236302243,0.686649445,0.431247657,0.994961121,-0.494180729,0.572555724,-0.03143541,0.926585144,-0.262326437,0.365903952,0.399527193,-0.669447615,-0.538366422,0.005850257,0.494267042,-0.534387748,-0.022927573,-0.749388133,0.62100025,-0.455391208,0.071966195
6C_5772,0.67820915,0.383859788,0.668123239,-0.770895861,1.091812642,-0.321886867,0.325895277,0.515346839,-0.481711759,-0.345059299,0.64310183,0.350146382,-0.445034707,-0.337587655,0.827522667,0.130616959,-0.84625148,0.605972065,-0.843152922,0.454415007,-0.342224685,-0.292967372,-1.375682831,0.709029626,-0.064007099,-0.637630635,0.480961433,-1.257032657,-0.284882643,-0.436454654,0.137213688,-0.489198698,0.520654457,-0.565230762,0.505127467,-0.25403884,-0.143382665
6C_5776,0.396879385,0.289969655,0.504270914,-0.329150967,0.155611549,0.07485157,-0.043718454,0.144281167,-0.54160701,-0.07007637,0.463633786,0.597086354,-0.56282828,-0.256488007,0.395410891,-0.14339816,-0.688518869,0.484607411,-0.613700379,0.449827289,-0.21840936,-0.871709441,0.087116935,0.730456507,0.165653356,-0.337397518,0.049784745,-0.001795606,0.09013386,-0.29679038,0.358459984,-0.575757413,-0.282022977,-0.55600359,0.098734725,0.086247458,-0.427713699
