Ind,phenotype
X410,0.058763361
X428,0.05019906
X766,0.054749911
X768,0.048974624
X991,0.054097119
X992,0.05414943
X997,0.053366882
X1002,0.051677731
X1061,0.048623088
X1062,0.052230509
X1158,0.055872903
X1254,0.054733136
X1257,0.041908326
X1552,0.052200334
X4807,0.049889348
X5210,0.057370114
X5276,0.05043814
X5651,0.049507467
X5717,0.052328128
X5726,0.052636624
X5772,0.054233127
X5776,0.053550962
X5779,0.052068307
X5800,0.055030423
X5832,0.050556757
X5865,0.052889001
X6009,0.046521366
X6011,0.049146951
X6012,0.048915893
X6016,0.043221383
X6017,0.051441304
X6020,0.054477505
X6021,0.055380051
X6023,0.048079499
X6024,0.047630166
X6030,0.044876097
X6034,0.044545743
X6035,0.05267327
X6036,0.052830299
X6038,0.053897096
X6040,0.049239777
X6043,0.044368557
X6064,0.052570456
X6069,0.054003412
X6070,0.049980498
X6074,0.056720228
X6076,0.058148234
X6085,0.054445647
X6090,0.054010758
X6094,0.059757513
X6097,0.055793038
X6099,0.05526027
X6102,0.05759201
X6104,0.050987946
X6105,0.054117862
X6106,0.055463896
X6107,0.059153222
X6109,0.055192545
X6111,0.05762462
X6114,0.055748778
X6122,0.05538159
X6124,0.053597478
X6125,0.056791961
X6126,0.05535993
X6131,0.05146618
X6132,0.048307153
X6133,0.057919309
X6134,0.055568316
X6137,0.058523055
X6138,0.058015208
X6140,0.064340688
X6142,0.043638645
X6148,0.051271156
X6150,0.049933786
X6151,0.053518474
X6153,0.051283047
X6169,0.051940315
X6172,0.051536872
X6177,0.048816553
X6184,0.057381674
X6192,0.050006371
X6194,0.047563821
X6201,0.049841756
X6202,0.056588228
X6203,0.045878598
X6209,0.048108428
X6210,0.051319895
X6217,0.046175322
X6220,0.038469085
X6237,0.052762506
X6240,0.042232745
X6241,0.047502988
X6242,0.054729349
X6244,0.048633798
X6258,0.04785745
X6284,0.054046877
X6396,0.052133508
X6413,0.050311614
X6901,0.046937773
X6909,0.049585986
X6924,0.055671738
X6932,0.048827747
X6940,0.054516788
X6945,0.049568546
X6951,0.052489555
X6966,0.04729759
X6969,0.050152815
X6974,0.057129873
X6976,0.055786892
X6979,0.052049243
X6982,0.051687735
X6984,0.051989435
X7014,0.055251998
X7026,0.055286622
X7058,0.048157406
X7061,0.046591798
X7094,0.051396157
X7109,0.047531352
X7111,0.055831189
X7181,0.047525222
X7192,0.053051176
X7217,0.050877252
X7223,0.051959986
X7255,0.060235236
X7298,0.055743432
X7305,0.051120235
X7322,0.050260667
X7413,0.048674819
X7424,0.053004618
X8222,0.049610643
X8230,0.050171683
X8231,0.055264352
X8237,0.051864841
X8239,0.058004713
X8240,0.055556721
X8241,0.048506992
X8242,0.052152795
X8243,0.059150974
X8244,0.052869906
X8247,0.052167388
X8249,0.048395236
X8259,0.052981288
X8283,0.054452907
X8326,0.052644039
X8335,0.047262593
X8351,0.048777517
X8365,0.050873097
X8366,0.054478113
X8369,0.044158856
X8419,0.048122259
X8422,0.056790859
X9057,0.053308107
X9075,0.052585603
X9133,0.048843531
X9298,0.049877558
X9321,0.043517725
X9323,0.050225508
X9336,0.054481203
X9339,0.050887449
X9352,0.055926688
X9371,0.056735237
X9386,0.051052809
X9388,0.045837655
X9395,0.054957813
X9399,0.054364876
X9404,0.059867506
X9405,0.053847307
X9408,0.054672073
X9409,0.045058065
X9413,0.051722136
X9427,0.049664527
X9433,0.044612757
X9436,0.056390693
X9451,0.058692072
X9452,0.055691682
X9453,0.055408741
X9454,0.05373525
X9470,0.059008533
X9481,0.054710822
X9523,0.05417472
X9540,0.055259972
X9550,0.052749044
X9551,0.053898767
X9559,0.054424225
X9562,0.055076048
X9582,0.044653236
X9584,0.05262471
X9585,0.049765802
X9586,0.048257006
X9588,0.055357733
X9595,0.048886239
X9600,0.059321398
X9611,0.047011369
X9621,0.045369567
X9644,0.056384116
X9660,0.059539235
X9663,0.046820998
X9679,0.048357362
X9685,0.058943636
X9701,0.059388498
X9705,0.054255031
X9706,0.053198714
X9709,0.055285454
X9713,0.058851385
X9717,0.056250447
X9726,0.05657296
X9728,0.052978641
X9730,0.053462336
X9733,0.05516674
X9762,0.056609181
X9764,0.05562171
X9766,0.043013832
X9772,0.05438864
X9778,0.054693653
X9781,0.055653488
X9782,0.055689411
X9792,0.054598135
X9794,0.055098641
X9805,0.056927915
X9808,0.047127636
X9819,0.052296069
X9832,0.042465507
X9854,0.054783761
X9877,0.051536982
X9887,0.050561026
X9888,0.049902118
X9890,0.055079703
X9902,0.052169951
X9905,0.063597684
X9917,0.052866067
X9943,0.058770725
X9962,0.051808055
X9965,0.053089557
X9968,0.058671065
X9978,0.053039247
X9983,0.053159546
X10012,0.052251042
X10020,0.047036415
X15593,0.057150161
